CENSUS_PRE,label,chainId,tier,refAssetCount,cachedLtvBps,effectiveLtvBps,librarydefaultBps
CENSUS_PRE,2026-05-14-op,10,1,0,0,5000,5000
CENSUS_PRE,2026-05-14-op,10,2,1,0,6200,6200
CENSUS_PRE,2026-05-14-op,10,3,3,0,7300,7300
CENSUS_PRE_PEERS,2026-05-14-op,10,aave_v3_pdp=0x69FA688f1Dc47d4B5d8029D5a35FB7a548310654,comet=0x2e44e174f7D53F0212823acC11C01A11d58c5bCB,morpho=0x0000000000000000000000000000000000000000
