CENSUS_PRE,label,chainId,tier,refAssetCount,cachedLtvBps,effectiveLtvBps,librarydefaultBps
CENSUS_PRE,2026-05-14-base,8453,1,0,0,5000,5000
CENSUS_PRE,2026-05-14-base,8453,2,0,0,6200,6200
CENSUS_PRE,2026-05-14-base,8453,3,3,0,7300,7300
CENSUS_PRE_PEERS,2026-05-14-base,8453,aave_v3_pdp=0x2A0979257105834789bC6b9E1B00446DFbA8dFBa,comet=0xb125E6687d4313864e53df431d5425969c15Eb2F,morpho=0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb
