CENSUS_PRE,label,chainId,tier,refAssetCount,cachedLtvBps,effectiveLtvBps,librarydefaultBps
CENSUS_PRE,2026-05-14-bnb,56,1,0,0,5000,5000
CENSUS_PRE,2026-05-14-bnb,56,2,1,0,6200,6200
CENSUS_PRE,2026-05-14-bnb,56,3,4,0,7300,7300
CENSUS_PRE_PEERS,2026-05-14-bnb,56,aave_v3_pdp=0x41585C50524fb8c3899B43D7D797d9486AAc94DB,comet=0x1B0e765F6224C21223AeA2af16c1C46E38885a40,morpho=0x0000000000000000000000000000000000000000
