CENSUS_PRE,label,chainId,tier,refAssetCount,cachedLtvBps,effectiveLtvBps,librarydefaultBps
CENSUS_PRE,2026-05-14-arb,42161,1,0,0,5000,5000
CENSUS_PRE,2026-05-14-arb,42161,2,2,0,6200,6200
CENSUS_PRE,2026-05-14-arb,42161,3,3,0,7300,7300
CENSUS_PRE_PEERS,2026-05-14-arb,42161,aave_v3_pdp=0x69FA688f1Dc47d4B5d8029D5a35FB7a548310654,comet=0x9c4ec768c28520B50860ea7a15bd7213a9fF58bf,morpho=0x0000000000000000000000000000000000000000
