CENSUS_PRE,label,chainId,tier,refAssetCount,cachedLtvBps,effectiveLtvBps,librarydefaultBps
CENSUS_PRE,2026-05-14-eth,1,1,0,0,5000,5000
CENSUS_PRE,2026-05-14-eth,1,2,2,0,6200,6200
CENSUS_PRE,2026-05-14-eth,1,3,4,7337,7337,7300
CENSUS_PRE_PEERS,2026-05-14-eth,1,aave_v3_pdp=0x7B4EB56E7CD4b454BA8ff71E4518426369a138a3,comet=0xc3d688B66703497DAA19211EEdff47f25384cdc3,morpho=0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb
