CENSUS_PRE,label,chainId,tier,refAssetCount,cachedLtvBps,effectiveLtvBps,librarydefaultBps
CENSUS_PRE,2026-05-14-polygon,137,1,0,0,5000,5000
CENSUS_PRE,2026-05-14-polygon,137,2,2,0,6200,6200
CENSUS_PRE,2026-05-14-polygon,137,3,4,7200,7200,7300
CENSUS_PRE_PEERS,2026-05-14-polygon,137,aave_v3_pdp=0x69FA688f1Dc47d4B5d8029D5a35FB7a548310654,comet=0xF25212E676D1F7F89Cd72fFEe66158f541246445,morpho=0x0000000000000000000000000000000000000000
